#h	T	<m>	<m>_err
-1.000000	0.200000	-1.000000	0.000091
-1.000000	0.400000	-0.999909	0.013484
-1.000000	0.600000	-0.997369	0.071871
-1.000000	0.800000	-0.985537	0.166193
-1.000000	1.000000	-0.959308	0.273643
-1.000000	1.200000	-0.919048	0.377493
-1.000000	1.400000	-0.868714	0.468985
-1.000000	1.600000	-0.813172	0.545018
-1.000000	1.800000	-0.755532	0.607086
-1.000000	2.000000	-0.699188	0.656059
-1.000000	2.200000	-0.647035	0.692766
-1.000000	2.400000	-0.599364	0.720713
-1.000000	2.600000	-0.555393	0.742023
-1.000000	2.800000	-0.514688	0.759106
-1.000000	3.000000	-0.479812	0.770131
-1.000000	3.200000	-0.447985	0.778991
-1.000000	3.400000	-0.419439	0.785170
-1.000000	3.600000	-0.392506	0.790680
-1.000000	3.800000	-0.369799	0.793242
-1.000000	4.000000	-0.348516	0.795221
-1.000000	4.200000	-0.328541	0.796660
-1.000000	4.400000	-0.311501	0.797593
-1.000000	4.600000	-0.295613	0.797201
-1.000000	4.800000	-0.281810	0.797008
-1.000000	5.000000	-0.268967	0.795985
-0.500000	0.200000	-0.999909	0.013474
-0.500000	0.400000	-0.986628	0.162968
-0.500000	0.600000	-0.930786	0.364930
-0.500000	0.800000	-0.845014	0.531403
-0.500000	1.000000	-0.752190	0.649985
-0.500000	1.200000	-0.665025	0.729593
-0.500000	1.400000	-0.587421	0.782025
-0.500000	1.600000	-0.519411	0.816190
-0.500000	1.800000	-0.461421	0.837489
-0.500000	2.000000	-0.412634	0.850097
-0.500000	2.200000	-0.370747	0.856886
-0.500000	2.400000	-0.335658	0.859889
-0.500000	2.600000	-0.305451	0.860313
-0.500000	2.800000	-0.278779	0.859521
-0.500000	3.000000	-0.256514	0.856981
-0.500000	3.200000	-0.237644	0.853832
-0.500000	3.400000	-0.220067	0.850465
-0.500000	3.600000	-0.205564	0.846843
-0.500000	3.800000	-0.191068	0.843141
-0.500000	4.000000	-0.180273	0.839487
-0.500000	4.200000	-0.169294	0.835576
-0.500000	4.400000	-0.159454	0.832011
-0.500000	4.600000	-0.153453	0.828165
-0.500000	4.800000	-0.144667	0.824958
-0.500000	5.000000	-0.137381	0.821871
0.000000	0.200000	-0.001032	0.999999
0.000000	0.400000	-0.000372	0.999977
0.000000	0.600000	-0.001057	0.999363
0.000000	0.800000	-0.001476	0.996639
0.000000	1.000000	-0.001654	0.990958
0.000000	1.200000	0.000810	0.982614
0.000000	1.400000	0.000980	0.972535
0.000000	1.600000	0.000204	0.961315
0.000000	1.800000	-0.000524	0.949931
0.000000	2.000000	-0.000060	0.938502
0.000000	2.200000	0.000294	0.927472
0.000000	2.400000	-0.000063	0.917084
0.000000	2.600000	0.000409	0.907282
0.000000	2.800000	0.001047	0.898193
0.000000	3.000000	-0.000597	0.889572
0.000000	3.200000	0.000271	0.881586
0.000000	3.400000	0.000187	0.874255
0.000000	3.600000	-0.000522	0.867465
0.000000	3.800000	-0.000298	0.861079
0.000000	4.000000	-0.000901	0.855072
0.000000	4.200000	-0.000606	0.849476
0.000000	4.400000	0.001395	0.844090
0.000000	4.600000	-0.000219	0.839535
0.000000	4.800000	-0.000062	0.835243
0.000000	5.000000	-0.001205	0.830338
0.500000	0.200000	0.999909	0.013476
0.500000	0.400000	0.986639	0.162900
0.500000	0.600000	0.930520	0.365608
0.500000	0.800000	0.845728	0.530277
0.500000	1.000000	0.753612	0.648345
0.500000	1.200000	0.665295	0.729374
0.500000	1.400000	0.585878	0.783143
0.500000	1.600000	0.519417	0.816364
0.500000	1.800000	0.460945	0.837794
0.500000	2.000000	0.413610	0.849569
0.500000	2.200000	0.370493	0.857119
0.500000	2.400000	0.335496	0.859968
0.500000	2.600000	0.306061	0.860231
0.500000	2.800000	0.280277	0.858830
0.500000	3.000000	0.256405	0.857144
0.500000	3.200000	0.238118	0.853783
0.500000	3.400000	0.220690	0.850465
0.500000	3.600000	0.205210	0.846719
0.500000	3.800000	0.191337	0.843441
0.500000	4.000000	0.180357	0.839343
0.500000	4.200000	0.169395	0.835790
0.500000	4.400000	0.161378	0.831715
0.500000	4.600000	0.151259	0.828604
0.500000	4.800000	0.145260	0.824905
0.500000	5.000000	0.136951	0.821833
1.000000	0.200000	1.000000	0.000091
1.000000	0.400000	0.999909	0.013483
1.000000	0.600000	0.997361	0.071979
1.000000	0.800000	0.985546	0.166132
1.000000	1.000000	0.959281	0.273751
1.000000	1.200000	0.919291	0.376904
1.000000	1.400000	0.868808	0.468838
1.000000	1.600000	0.813169	0.545056
1.000000	1.800000	0.755975	0.606712
1.000000	2.000000	0.699752	0.655558
1.000000	2.200000	0.647350	0.692585
1.000000	2.400000	0.599616	0.720453
1.000000	2.600000	0.555715	0.741947
1.000000	2.800000	0.516045	0.758101
1.000000	3.000000	0.480725	0.769708
1.000000	3.200000	0.447532	0.779243
1.000000	3.400000	0.418030	0.785689
1.000000	3.600000	0.393035	0.790229
1.000000	3.800000	0.369925	0.793130
1.000000	4.000000	0.348451	0.795540
1.000000	4.200000	0.329727	0.796389
1.000000	4.400000	0.312181	0.797138
1.000000	4.600000	0.295728	0.797269
1.000000	4.800000	0.281469	0.797073
1.000000	5.000000	0.267376	0.796460
