#N	h	<m>	<m>_err
2	-1.000000	-0.959415	0.273309
2	-0.800000	-0.915334	0.393850
2	-0.600000	-0.825371	0.555666
2	-0.400000	-0.655173	0.746486
2	-0.200000	-0.373063	0.918783
2	-0.000000	0.000725	0.990968
2	0.200000	0.373735	0.918507
2	0.400000	0.654491	0.747057
2	0.600000	0.825437	0.555539
2	0.800000	0.915541	0.393380
2	1.000000	0.959446	0.273159
4	-1.000000	-0.992865	0.073786
4	-0.800000	-0.985652	0.119312
4	-0.600000	-0.964225	0.215578
4	-0.400000	-0.887567	0.414221
4	-0.200000	-0.620578	0.740649
4	-0.000000	0.003398	0.957692
4	0.200000	0.620480	0.740575
4	0.400000	0.887814	0.413655
4	0.600000	0.964274	0.215414
4	0.800000	0.985695	0.119045
4	1.000000	0.992798	0.074108
8	-1.000000	-0.993464	0.046102
8	-0.800000	-0.988672	0.064800
8	-0.600000	-0.978299	0.099621
8	-0.400000	-0.947307	0.186709
8	-0.200000	-0.798564	0.456338
8	-0.000000	0.006123	0.857762
8	0.200000	0.795429	0.460973
8	0.400000	0.947726	0.185740
8	0.600000	0.978037	0.100216
8	0.800000	0.988559	0.065099
8	1.000000	0.993511	0.045953
12	-1.000000	-0.993700	0.037019
12	-0.800000	-0.988779	0.052681
12	-0.600000	-0.976986	0.082727
12	-0.400000	-0.950595	0.141881
12	-0.200000	-0.817094	0.346228
12	-0.000000	0.019776	0.748081
12	0.200000	0.834628	0.334393
12	0.400000	0.950091	0.142988
12	0.600000	0.979100	0.079333
12	0.800000	0.988371	0.053796
12	1.000000	0.993539	0.037465
16	-1.000000	-0.992716	0.034571
16	-0.800000	-0.985328	0.051217
16	-0.600000	-0.980863	0.066387
16	-0.400000	-0.961190	0.111198
16	-0.200000	-0.825089	0.292366
16	-0.000000	-0.015531	0.662065
16	0.200000	0.819434	0.293193
16	0.400000	0.955229	0.117688
16	0.600000	0.978855	0.068649
16	0.800000	0.988813	0.045905
16	1.000000	0.990686	0.038900
20	-1.000000	-0.996999	0.020344
20	-0.800000	-0.979181	0.053592
20	-0.600000	-0.978647	0.063238
20	-0.400000	-0.963918	0.099064
20	-0.200000	-0.643621	0.265259
20	-0.000000	0.018667	0.554680
20	0.200000	0.868037	0.236776
20	0.400000	0.961847	0.099545
20	0.600000	0.982532	0.054566
20	0.800000	0.993891	0.030299
20	1.000000	0.987050	0.039020
