#N	J	h	<m>	<m>_err	<e>	<e>_err
4	0.250000	1.000000	0.958375	0.075531	-1.418781	0.144384
4	0.250000	0.900000	0.945812	0.088792	-1.300700	0.157558
4	0.250000	0.800000	0.934937	0.098630	-1.187950	0.163411
4	0.250000	0.700000	0.915125	0.116455	-1.065056	0.175098
4	0.250000	0.600000	0.889000	0.135177	-0.936744	0.186514
4	0.250000	0.500000	0.854187	0.166854	-0.806187	0.200330
4	0.250000	0.400000	0.807125	0.196618	-0.670131	0.202744
4	0.250000	0.300000	0.731187	0.244433	-0.522888	0.207323
4	0.250000	0.200000	0.576625	0.334693	-0.355731	0.202068
4	0.250000	0.100000	0.327688	0.452894	-0.219050	0.160945
4	0.250000	0.000000	0.007250	0.504071	-0.158719	0.123419
4	0.250000	-0.100000	-0.379250	0.433389	-0.230519	0.166705
4	0.250000	-0.200000	-0.597500	0.334888	-0.367000	0.205926
4	0.250000	-0.300000	-0.732812	0.255000	-0.527500	0.209035
4	0.250000	-0.400000	-0.807063	0.196179	-0.670575	0.205373
4	0.250000	-0.500000	-0.868313	0.149198	-0.821375	0.186171
4	0.250000	-0.600000	-0.897875	0.126584	-0.947537	0.178322
4	0.250000	-0.700000	-0.917438	0.110485	-1.067675	0.168591
4	0.250000	-0.800000	-0.933375	0.100071	-1.185419	0.164909
4	0.250000	-0.900000	-0.944937	0.092573	-1.299663	0.162222
4	0.250000	-1.000000	-0.960500	0.074282	-1.423094	0.141426
4	0.275000	1.000000	0.966063	0.070355	-1.480553	0.141202
4	0.275000	0.900000	0.957812	0.077821	-1.368753	0.145669
4	0.275000	0.800000	0.945438	0.088209	-1.250525	0.155516
4	0.275000	0.700000	0.931813	0.102159	-1.134103	0.164580
4	0.275000	0.600000	0.913375	0.117776	-1.012913	0.175897
4	0.275000	0.500000	0.883813	0.146070	-0.882903	0.190301
4	0.275000	0.400000	0.839750	0.179604	-0.745409	0.201109
4	0.275000	0.300000	0.782500	0.234467	-0.606859	0.214527
4	0.275000	0.200000	0.656687	0.318057	-0.438581	0.215325
4	0.275000	0.100000	0.417125	0.457804	-0.282509	0.183759
4	0.275000	0.000000	-0.001000	0.559589	-0.206697	0.148067
4	0.275000	-0.100000	-0.441188	0.457133	-0.290587	0.189428
4	0.275000	-0.200000	-0.653625	0.325542	-0.439378	0.215153
4	0.275000	-0.300000	-0.774188	0.232145	-0.599656	0.213570
4	0.275000	-0.400000	-0.843750	0.176445	-0.748659	0.199003
4	0.275000	-0.500000	-0.888750	0.139860	-0.889016	0.185775
4	0.275000	-0.600000	-0.907937	0.122797	-1.005663	0.180808
4	0.275000	-0.700000	-0.934250	0.099320	-1.137563	0.161783
4	0.275000	-0.800000	-0.949000	0.085012	-1.257019	0.150025
4	0.275000	-0.900000	-0.955812	0.078016	-1.364341	0.147150
4	0.275000	-1.000000	-0.968625	0.065907	-1.485625	0.132679
4	0.300000	1.000000	0.970437	0.065020	-1.536575	0.136168
4	0.300000	0.900000	0.970000	0.064880	-1.438763	0.129298
4	0.300000	0.800000	0.959125	0.076349	-1.321175	0.143086
4	0.300000	0.700000	0.945063	0.095553	-1.201656	0.163391
4	0.300000	0.600000	0.933500	0.105695	-1.088438	0.167417
4	0.300000	0.500000	0.905813	0.131858	-0.955519	0.187161
4	0.300000	0.400000	0.873250	0.159727	-0.824537	0.197222
4	0.300000	0.300000	0.808000	0.243724	-0.677063	0.220358
4	0.300000	0.200000	0.711000	0.306942	-0.515700	0.220680
4	0.300000	0.100000	0.500125	0.460231	-0.355788	0.207238
4	0.300000	0.000000	-0.041188	0.596827	-0.255675	0.165387
4	0.300000	-0.100000	-0.478187	0.476348	-0.346319	0.210169
4	0.300000	-0.200000	-0.723250	0.281408	-0.518037	0.221164
4	0.300000	-0.300000	-0.823438	0.215506	-0.688331	0.211831
4	0.300000	-0.400000	-0.884375	0.148607	-0.837575	0.187470
4	0.300000	-0.500000	-0.903563	0.131891	-0.952031	0.186380
4	0.300000	-0.600000	-0.931063	0.100960	-1.083788	0.162207
4	0.300000	-0.700000	-0.946688	0.088706	-1.203769	0.152561
4	0.300000	-0.800000	-0.953875	0.080607	-1.311313	0.150397
4	0.300000	-0.900000	-0.964938	0.070580	-1.428619	0.139721
4	0.300000	-1.000000	-0.972375	0.061002	-1.540612	0.128256
4	0.325000	1.000000	0.975437	0.057539	-1.594725	0.127857
4	0.325000	0.900000	0.973562	0.061969	-1.493341	0.129890
4	0.325000	0.800000	0.968688	0.067286	-1.386275	0.133583
4	0.325000	0.700000	0.955313	0.080302	-1.264566	0.148343
4	0.325000	0.600000	0.943500	0.097283	-1.150206	0.162176
4	0.325000	0.500000	0.923125	0.117445	-1.024016	0.174965
4	0.325000	0.400000	0.898188	0.139591	-0.897434	0.188622
4	0.325000	0.300000	0.859500	0.183738	-0.764647	0.204329
4	0.325000	0.200000	0.760625	0.281035	-0.593922	0.228998
4	0.325000	0.100000	0.559438	0.467563	-0.429572	0.219823
4	0.325000	0.000000	0.019625	0.648488	-0.312406	0.183973
4	0.325000	-0.100000	-0.573625	0.461453	-0.438263	0.222336
4	0.325000	-0.200000	-0.784062	0.269381	-0.615428	0.219458
4	0.325000	-0.300000	-0.848875	0.188635	-0.749881	0.213408
4	0.325000	-0.400000	-0.898500	0.142339	-0.897966	0.194191
4	0.325000	-0.500000	-0.926063	0.112405	-1.027963	0.174236
4	0.325000	-0.600000	-0.941500	0.099214	-1.146122	0.166651
4	0.325000	-0.700000	-0.955875	0.081814	-1.266462	0.148449
4	0.325000	-0.800000	-0.964875	0.070272	-1.378634	0.138971
4	0.325000	-0.900000	-0.972063	0.063682	-1.490447	0.132220
4	0.325000	-1.000000	-0.976500	0.058048	-1.597331	0.127407
4	0.350000	1.000000	0.982125	0.049773	-1.658194	0.113556
4	0.350000	0.900000	0.977875	0.054868	-1.550206	0.121120
4	0.350000	0.800000	0.969125	0.065906	-1.434000	0.137786
4	0.350000	0.700000	0.965187	0.072773	-1.330394	0.140155
4	0.350000	0.600000	0.953250	0.086252	-1.212144	0.154493
4	0.350000	0.500000	0.940625	0.097498	-1.095194	0.162222
4	0.350000	0.400000	0.919750	0.124990	-0.972525	0.179737
4	0.350000	0.300000	0.883250	0.177775	-0.837181	0.202280
4	0.350000	0.200000	0.827812	0.232076	-0.691306	0.217208
4	0.350000	0.100000	0.628687	0.451951	-0.507894	0.229550
4	0.350000	0.000000	-0.041125	0.709068	-0.388413	0.204182
4	0.350000	-0.100000	-0.611313	0.495393	-0.517137	0.229428
4	0.350000	-0.200000	-0.830688	0.226241	-0.693850	0.220059
4	0.350000	-0.300000	-0.883875	0.171389	-0.836144	0.200642
4	0.350000	-0.400000	-0.912312	0.132252	-0.960844	0.190295
4	0.350000	-0.500000	-0.942187	0.100046	-1.098513	0.165016
4	0.350000	-0.600000	-0.953500	0.087822	-1.212513	0.156375
4	0.350000	-0.700000	-0.964562	0.075842	-1.329563	0.143989
4	0.350000	-0.800000	-0.970437	0.066211	-1.437237	0.136620
4	0.350000	-0.900000	-0.977500	0.054715	-1.549475	0.120552
4	0.350000	-1.000000	-0.983500	0.049620	-1.661537	0.113333
4	0.375000	1.000000	0.984875	0.043546	-1.712562	0.106753
4	0.375000	0.900000	0.983250	0.049693	-1.610925	0.113143
4	0.375000	0.800000	0.977313	0.058438	-1.499647	0.125727
4	0.375000	0.700000	0.969750	0.067481	-1.386544	0.137386
4	0.375000	0.600000	0.963625	0.075655	-1.277831	0.143043
4	0.375000	0.500000	0.949375	0.092785	-1.156297	0.162802
4	0.375000	0.400000	0.931063	0.114520	-1.032097	0.177487
4	0.375000	0.300000	0.919000	0.134170	-0.924309	0.183777
4	0.375000	0.200000	0.860000	0.218503	-0.771063	0.217765
4	0.375000	0.100000	0.659563	0.489372	-0.590534	0.240758
4	0.375000	0.000000	-0.005250	0.773034	-0.481922	0.217608
4	0.375000	-0.100000	-0.679188	0.474977	-0.603559	0.236651
4	0.375000	-0.200000	-0.861250	0.202056	-0.767234	0.214726
4	0.375000	-0.300000	-0.906375	0.153806	-0.909225	0.194391
4	0.375000	-0.400000	-0.933500	0.112706	-1.036963	0.174429
4	0.375000	-0.500000	-0.949125	0.092056	-1.155609	0.160030
4	0.375000	-0.600000	-0.963375	0.078973	-1.278197	0.147152
4	0.375000	-0.700000	-0.973938	0.060985	-1.394491	0.126860
4	0.375000	-0.800000	-0.978125	0.055393	-1.500953	0.120966
4	0.375000	-0.900000	-0.980000	0.052797	-1.603125	0.121172
4	0.375000	-1.000000	-0.986250	0.044529	-1.716375	0.106897
4	0.400000	1.000000	0.989062	0.039891	-1.772163	0.100080
4	0.400000	0.900000	0.985750	0.045758	-1.665175	0.109557
4	0.400000	0.800000	0.981875	0.049367	-1.557400	0.114172
4	0.400000	0.700000	0.976313	0.060543	-1.448019	0.127892
4	0.400000	0.600000	0.971625	0.062808	-1.339725	0.129545
4	0.400000	0.500000	0.960500	0.081312	-1.223150	0.146533
4	0.400000	0.400000	0.947187	0.097947	-1.104375	0.165672
4	0.400000	0.300000	0.921875	0.140222	-0.975462	0.183495
4	0.400000	0.200000	0.890437	0.183339	-0.844638	0.205499
4	0.400000	0.100000	0.729375	0.455020	-0.680788	0.228987
4	0.400000	0.000000	0.019000	0.808943	-0.553000	0.225213
4	0.400000	-0.100000	-0.765625	0.419586	-0.698813	0.224346
4	0.400000	-0.200000	-0.892750	0.186992	-0.849300	0.200925
4	0.400000	-0.300000	-0.926438	0.127669	-0.979881	0.182021
4	0.400000	-0.400000	-0.949063	0.090264	-1.106075	0.156802
4	0.400000	-0.500000	-0.961875	0.083195	-1.225837	0.151933
4	0.400000	-0.600000	-0.970063	0.068023	-1.337288	0.137416
4	0.400000	-0.700000	-0.975313	0.059226	-1.445219	0.128297
4	0.400000	-0.800000	-0.981437	0.051150	-1.556650	0.116943
4	0.400000	-0.900000	-0.986313	0.044460	-1.666581	0.106647
4	0.400000	-1.000000	-0.988125	0.039721	-1.769525	0.100772
4	0.425000	1.000000	0.989625	0.037314	-1.822359	0.098532
4	0.425000	0.900000	0.987375	0.041608	-1.717759	0.104813
4	0.425000	0.800000	0.983688	0.048809	-1.610494	0.115811
4	0.425000	0.700000	0.979563	0.055448	-1.503075	0.123034
4	0.425000	0.600000	0.973250	0.068031	-1.392353	0.139860
4	0.425000	0.500000	0.970500	0.069294	-1.289191	0.135598
