#N	J	<m>	<m>_err	<epsilon>	<epsilon>_err	lofb
15	0.200000	0.535822	0.001227	-0.334258	0.001674	1
15	0.200000	0.535818	0.000984	-0.334225	0.001531	2
15	0.200000	0.535818	0.000959	-0.334233	0.001685	4
15	0.200000	0.535819	0.000953	-0.334227	0.001963	8
15	0.200000	0.535814	0.000915	-0.334279	0.002211	16
15	0.200000	0.535813	0.000841	-0.334264	0.002313	32
15	0.200000	0.535803	0.000888	-0.334267	0.002390	64
15	0.200000	0.535818	0.000960	-0.334249	0.002465	128
15	0.200000	0.535573	0.000900	-0.333319	0.002427	256
15	0.200000	0.535639	0.001147	-0.331838	0.002192	512
15	0.300000	0.585839	0.001418	-0.391775	0.002325	1
15	0.300000	0.585839	0.001994	-0.391756	0.003260	2
15	0.300000	0.585864	0.002751	-0.391753	0.004487	4
15	0.300000	0.585862	0.003776	-0.391705	0.006203	8
15	0.300000	0.585674	0.004926	-0.391665	0.008135	16
15	0.300000	0.585563	0.006265	-0.391598	0.010274	32
15	0.300000	0.585678	0.007633	-0.391764	0.012318	64
15	0.300000	0.585733	0.008228	-0.391763	0.013531	128
15	0.300000	0.586923	0.007829	-0.393768	0.012287	256
15	0.300000	0.589708	0.007027	-0.397162	0.012130	512
15	0.400000	0.625754	0.001589	-0.439011	0.002623	1
15	0.400000	0.625767	0.002152	-0.439033	0.003444	2
15	0.400000	0.625745	0.002838	-0.438993	0.004589	4
15	0.400000	0.625789	0.003522	-0.439020	0.005678	8
15	0.400000	0.625923	0.004077	-0.439284	0.006531	16
15	0.400000	0.625930	0.004469	-0.439291	0.007218	32
15	0.400000	0.625938	0.004570	-0.439294	0.007705	64
15	0.400000	0.625923	0.004684	-0.439261	0.008258	128
15	0.400000	0.626058	0.004727	-0.440159	0.008988	256
15	0.400000	0.625443	0.004723	-0.438959	0.008369	512
15	0.500000	0.667033	0.001705	-0.493053	0.002921	1
15	0.500000	0.667031	0.001903	-0.493059	0.003272	2
15	0.500000	0.667051	0.002082	-0.493051	0.003484	4
15	0.500000	0.667052	0.002189	-0.493130	0.003835	8
15	0.500000	0.666935	0.002192	-0.492956	0.003840	16
15	0.500000	0.666951	0.002211	-0.492895	0.003835	32
15	0.500000	0.666957	0.002325	-0.492925	0.004146	64
15	0.500000	0.666947	0.002533	-0.492976	0.004464	128
15	0.500000	0.666879	0.002617	-0.493372	0.004600	256
15	0.500000	0.667256	0.002855	-0.494216	0.005214	512
15	0.600000	0.711799	0.001616	-0.552439	0.003121	1
15	0.600000	0.711782	0.001447	-0.552446	0.002720	2
15	0.600000	0.711796	0.001393	-0.552443	0.002556	4
15	0.600000	0.711824	0.001361	-0.552418	0.002534	8
15	0.600000	0.711759	0.001421	-0.552358	0.002568	16
15	0.600000	0.711740	0.001366	-0.552324	0.002394	32
15	0.600000	0.711756	0.001392	-0.552362	0.002486	64
15	0.600000	0.711758	0.001339	-0.552373	0.002281	128
15	0.600000	0.711932	0.001394	-0.552343	0.002583	256
15	0.600000	0.712750	0.001166	-0.553049	0.002848	512
15	0.700000	0.750858	0.001664	-0.618539	0.003415	1
15	0.700000	0.750820	0.001268	-0.618585	0.002318	2
15	0.700000	0.750824	0.001282	-0.618579	0.002191	4
15	0.700000	0.750825	0.001313	-0.618563	0.002112	8
15	0.700000	0.750868	0.001251	-0.618610	0.002019	16
15	0.700000	0.750862	0.001274	-0.618628	0.001954	32
15	0.700000	0.750868	0.001272	-0.618641	0.001851	64
15	0.700000	0.750866	0.001364	-0.618644	0.001876	128
15	0.700000	0.750968	0.001236	-0.618241	0.001922	256
