#N_md	H_rel_delta
2	0.0054761389
3	0.0003770625
4	0.0004119495
5	0.0003000548
6	0.0002186640
7	0.0001644299
8	0.0001275416
9	0.0001015883
10	0.0000827273
11	0.0000686256
12	0.0000578216
13	0.0000493690
14	0.0000426355
15	0.0000371866
16	0.0000327163
17	0.0000290042
18	0.0000258886
19	0.0000232483
20	0.0000209917
21	0.0000190479
22	0.0000173617
23	0.0000158897
24	0.0000145970
25	0.0000134558
26	0.0000124432
27	0.0000115407
28	0.0000107328
29	0.0000100068
30	0.0000093521
31	0.0000087595
32	0.0000082215
33	0.0000077315
34	0.0000072840
35	0.0000068743
36	0.0000064982
37	0.0000061521
38	0.0000058329
39	0.0000055380
40	0.0000052648
41	0.0000050114
42	0.0000047758
43	0.0000045565
44	0.0000043519
45	0.0000041608
46	0.0000039820
47	0.0000038145
48	0.0000036573
49	0.0000035096
50	0.0000033707
51	0.0000032399
52	0.0000031166
53	0.0000030002
54	0.0000028901
55	0.0000027861
56	0.0000026875
57	0.0000025941
58	0.0000025054
59	0.0000024213
60	0.0000023413
61	0.0000022652
62	0.0000021927
63	0.0000021237
64	0.0000020579
65	0.0000019951
66	0.0000019351
67	0.0000018778
68	0.0000018230
69	0.0000017705
70	0.0000017203
71	0.0000016722
72	0.0000016261
73	0.0000015819
74	0.0000015394
75	0.0000014987
76	0.0000014595
77	0.0000014218
78	0.0000013856
79	0.0000013508
80	0.0000013172
81	0.0000012849
82	0.0000012538
83	0.0000012237
84	0.0000011948
85	0.0000011668
86	0.0000011399
87	0.0000011138
88	0.0000010887
89	0.0000010643
90	0.0000010408
91	0.0000010181
92	0.0000009961
93	0.0000009748
94	0.0000009541
95	0.0000009342
96	0.0000009148
97	0.0000008960
98	0.0000008779
99	0.0000008602
100	0.0000008431
