#N	J	<m>	<m>_err	<epsilon>	<epsilon>_err	lofb
5	0.200000	0.530219	0.003773	-0.309643	0.007515	32
5	0.200000	0.530146	0.003965	-0.309636	0.007807	64
5	0.200000	0.530215	0.004218	-0.309739	0.007708	128
5	0.250000	0.538625	0.002377	-0.321509	0.004350	32
5	0.250000	0.538622	0.002561	-0.321463	0.004619	64
5	0.250000	0.538618	0.002520	-0.321419	0.004461	128
5	0.300000	0.555367	0.001795	-0.343853	0.004600	32
5	0.300000	0.555352	0.001854	-0.343858	0.004957	64
5	0.300000	0.555367	0.001940	-0.343830	0.005401	128
5	0.350000	0.578813	0.002129	-0.352351	0.007033	32
5	0.350000	0.578845	0.002433	-0.352479	0.008121	64
5	0.350000	0.578829	0.002679	-0.352435	0.008119	128
5	0.400000	0.588951	0.003832	-0.396793	0.011116	32
5	0.400000	0.588967	0.005060	-0.396950	0.015052	64
5	0.400000	0.588985	0.006455	-0.396987	0.018702	128
5	0.450000	0.608807	0.003336	-0.412299	0.008199	32
5	0.450000	0.608770	0.003579	-0.412332	0.009020	64
5	0.450000	0.608747	0.003558	-0.412288	0.008930	128
5	0.500000	0.625466	0.002968	-0.449176	0.007453	32
5	0.500000	0.625432	0.003353	-0.449154	0.008252	64
5	0.500000	0.625466	0.003798	-0.449175	0.010308	128
5	0.550000	0.639148	0.002901	-0.483873	0.008025	32
5	0.550000	0.639161	0.002918	-0.483914	0.008750	64
5	0.550000	0.639187	0.003126	-0.483903	0.009140	128
5	0.600000	0.655436	0.002949	-0.507128	0.005250	32
5	0.600000	0.655424	0.002939	-0.507163	0.005744	64
5	0.600000	0.655483	0.002503	-0.507149	0.005373	128
5	0.650000	0.671288	0.002887	-0.541010	0.004725	32
5	0.650000	0.671296	0.002899	-0.540997	0.005129	64
5	0.650000	0.671285	0.003171	-0.541056	0.004930	128
5	0.700000	0.686660	0.003664	-0.568911	0.004650	32
5	0.700000	0.686633	0.003173	-0.568948	0.004793	64
5	0.700000	0.686664	0.003341	-0.568931	0.004667	128
5	0.750000	0.705784	0.003188	-0.595715	0.004626	32
5	0.750000	0.705758	0.003014	-0.595712	0.004658	64
5	0.750000	0.705811	0.002929	-0.595776	0.004863	128
5	0.800000	0.720079	0.003881	-0.623668	0.004686	32
5	0.800000	0.720104	0.003798	-0.623766	0.004597	64
5	0.800000	0.720105	0.004139	-0.623799	0.005188	128
5	0.850000	0.746331	0.003426	-0.661507	0.005235	32
5	0.850000	0.746361	0.003330	-0.661448	0.005585	64
5	0.850000	0.746395	0.003388	-0.661434	0.005750	128
5	0.900000	0.746285	0.003739	-0.692496	0.005284	32
5	0.900000	0.746293	0.004054	-0.692427	0.005021	64
5	0.900000	0.746295	0.003940	-0.692450	0.004950	128
5	0.950000	0.763787	0.004508	-0.720904	0.005659	32
5	0.950000	0.763810	0.004605	-0.720855	0.005519	64
5	0.950000	0.763851	0.004827	-0.721009	0.005006	128
5	1.000000	0.786655	0.004245	-0.765765	0.005807	32
5	1.000000	0.786633	0.004113	-0.765696	0.005877	64
