lambda	nx	q	q^2	F
 300	20	0.000000e+00	0.000000e+00	9.999995e-01
 300	20	1.000000e-02	1.000000e-04	9.990729e-01
 300	20	2.000000e-02	4.000000e-04	9.964182e-01
 300	20	3.000000e-02	9.000000e-04	9.922051e-01
 300	20	4.000000e-02	1.600000e-03	9.866013e-01
 300	20	5.000000e-02	2.500000e-03	9.797465e-01
 300	20	6.000000e-02	3.600000e-03	9.717824e-01
 300	20	7.000000e-02	4.900000e-03	9.628334e-01
 300	20	8.000000e-02	6.400000e-03	9.530097e-01
 300	20	9.000000e-02	8.100000e-03	9.424194e-01
 300	20	1.000000e-01	1.000000e-02	9.311607e-01
 300	20	1.100000e-01	1.210000e-02	9.193191e-01
 300	20	1.200000e-01	1.440000e-02	9.069740e-01
 300	20	1.300000e-01	1.690000e-02	8.942008e-01
 300	20	1.400000e-01	1.960000e-02	8.810681e-01
 300	20	1.500000e-01	2.250000e-02	8.676360e-01
 300	20	1.600000e-01	2.560000e-02	8.539591e-01
 300	20	1.700000e-01	2.890000e-02	8.400881e-01
 300	20	1.800000e-01	3.240000e-02	8.260701e-01
 300	20	1.900000e-01	3.610000e-02	8.119473e-01
 300	20	2.000000e-01	4.000000e-02	7.977572e-01
 300	20	2.100000e-01	4.410000e-02	7.835331e-01
 300	20	2.200000e-01	4.840000e-02	7.693053e-01
 300	20	2.300000e-01	5.290000e-02	7.551019e-01
 300	20	2.400000e-01	5.760000e-02	7.409482e-01
 300	20	2.500000e-01	6.250000e-02	7.268669e-01
 300	20	2.600000e-01	6.760000e-02	7.128774e-01
 300	20	2.700000e-01	7.290000e-02	6.989971e-01
 300	20	2.800000e-01	7.840000e-02	6.852411e-01
 300	20	2.900000e-01	8.410000e-02	6.716235e-01
 300	20	3.000000e-01	9.000000e-02	6.581567e-01
 300	20	3.100000e-01	9.610000e-02	6.448516e-01
 300	20	3.200000e-01	1.024000e-01	6.317174e-01
 300	20	3.300000e-01	1.089000e-01	6.187620e-01
 300	20	3.400000e-01	1.156000e-01	6.059919e-01
 300	20	3.500000e-01	1.225000e-01	5.934125e-01
 300	20	3.600000e-01	1.296000e-01	5.810286e-01
 300	20	3.700000e-01	1.369000e-01	5.688443e-01
 300	20	3.800000e-01	1.444000e-01	5.568626e-01
 300	20	3.900000e-01	1.521000e-01	5.450862e-01
 300	20	4.000000e-01	1.600000e-01	5.335167e-01
 300	20	4.100000e-01	1.681000e-01	5.221552e-01
 300	20	4.200000e-01	1.764000e-01	5.110022e-01
 300	20	4.300000e-01	1.849000e-01	5.000575e-01
