energy	q	Abs(s)	Arg(s)	Abs(swopm)	Arg(swopm)
  0	0.000000e+00	1.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00
  1	2.196353e-01	1.000000e+00	2.026276e+00	1.000000e+00	2.026278e+00
  2	3.106113e-01	1.000000e+00	2.196529e+00	1.000000e+00	2.196532e+00
  3	3.804196e-01	1.000000e+00	2.259367e+00	1.000000e+00	2.259371e+00
  4	4.392707e-01	1.000000e+00	2.287836e+00	1.000000e+00	2.287841e+00
  5	4.911195e-01	1.000000e+00	2.300909e+00	1.000000e+00	2.300914e+00
  6	5.379945e-01	1.000000e+00	2.305808e+00	1.000000e+00	2.305813e+00
  7	5.811005e-01	1.000000e+00	2.305893e+00	1.000000e+00	2.305899e+00
  8	6.212225e-01	1.000000e+00	2.302939e+00	1.000000e+00	2.302946e+00
  9	6.589060e-01	1.000000e+00	2.297970e+00	1.000000e+00	2.297977e+00
 10	6.945479e-01	1.000000e+00	2.291615e+00	1.000000e+00	2.291622e+00
 11	7.284480e-01	1.000000e+00	2.284280e+00	1.000000e+00	2.284287e+00
 12	7.608391e-01	1.000000e+00	2.276239e+00	1.000000e+00	2.276247e+00
 13	7.919065e-01	1.000000e+00	2.267684e+00	1.000000e+00	2.267692e+00
 14	8.218002e-01	1.000000e+00	2.258749e+00	1.000000e+00	2.258757e+00
 15	8.506440e-01	1.000000e+00	2.249533e+00	1.000000e+00	2.249542e+00
 16	8.785413e-01	1.000000e+00	2.240111e+00	1.000000e+00	2.240120e+00
 17	9.055797e-01	1.000000e+00	2.230538e+00	1.000000e+00	2.230547e+00
 18	9.318338e-01	1.000000e+00	2.220856e+00	1.000000e+00	2.220865e+00
 19	9.573682e-01	1.000000e+00	2.211099e+00	1.000000e+00	2.211109e+00
 20	9.822391e-01	1.000000e+00	2.201293e+00	1.000000e+00	2.201303e+00
 21	1.006496e+00	1.000000e+00	2.191459e+00	1.000000e+00	2.191469e+00
 22	1.030181e+00	1.000000e+00	2.181612e+00	1.000000e+00	2.181623e+00
 23	1.053334e+00	1.000000e+00	2.171767e+00	1.000000e+00	2.171778e+00
 24	1.075989e+00	1.000000e+00	2.161935e+00	1.000000e+00	2.161945e+00
 25	1.098177e+00	1.000000e+00	2.152123e+00	1.000000e+00	2.152134e+00
 26	1.119925e+00	1.000000e+00	2.142340e+00	1.000000e+00	2.142351e+00
 27	1.141259e+00	1.000000e+00	2.132591e+00	1.000000e+00	2.132602e+00
 28	1.162201e+00	1.000000e+00	2.122881e+00	1.000000e+00	2.122893e+00
 29	1.182772e+00	1.000000e+00	2.113215e+00	1.000000e+00	2.113227e+00
 30	1.202992e+00	1.000000e+00	2.103596e+00	1.000000e+00	2.103608e+00
 31	1.222878e+00	1.000000e+00	2.094027e+00	1.000000e+00	2.094039e+00
 32	1.242445e+00	1.000000e+00	2.084510e+00	1.000000e+00	2.084522e+00
 33	1.261709e+00	1.000000e+00	2.075048e+00	1.000000e+00	2.075060e+00
 34	1.280683e+00	1.000000e+00	2.065642e+00	1.000000e+00	2.065654e+00
 35	1.299380e+00	1.000000e+00	2.056293e+00	1.000000e+00	2.056306e+00
 36	1.317812e+00	1.000000e+00	2.047004e+00	1.000000e+00	2.047016e+00
 37	1.335990e+00	1.000000e+00	2.037775e+00	1.000000e+00	2.037787e+00
 38	1.353923e+00	1.000000e+00	2.028607e+00	1.000000e+00	2.028619e+00
 39	1.371622e+00	1.000000e+00	2.019500e+00	1.000000e+00	2.019513e+00
 40	1.389096e+00	1.000000e+00	2.010456e+00	1.000000e+00	2.010469e+00
