x	l	dc
-9.900000e-01	0	1.696071e+00
-9.900000e-01	1	2.032797e+00
-9.900000e-01	2	2.259512e-02
-9.900000e-01	3	4.653016e-01
-9.900000e-01	4	1.779968e-01
-9.900000e-01	5	2.763203e-01
-9.900000e-01	6	2.354267e-01
-9.800000e-01	0	1.696071e+00
-9.800000e-01	1	1.973072e+00
-9.800000e-01	2	2.611597e-02
-9.800000e-01	3	4.442441e-01
-9.800000e-01	4	1.882643e-01
-9.800000e-01	5	2.714862e-01
-9.800000e-01	6	2.398874e-01
-9.700000e-01	0	1.696071e+00
-9.700000e-01	1	1.914496e+00
-9.700000e-01	2	3.061712e-02
-9.700000e-01	3	4.246009e-01
-9.700000e-01	4	1.982573e-01
-9.700000e-01	5	2.673410e-01
-9.700000e-01	6	2.440344e-01
-9.600000e-01	0	1.696071e+00
-9.600000e-01	1	1.857069e+00
-9.600000e-01	2	3.604544e-02
-9.600000e-01	3	4.063047e-01
-9.600000e-01	4	2.079538e-01
-9.600000e-01	5	2.638399e-01
-9.600000e-01	6	2.478910e-01
-9.500000e-01	0	1.696071e+00
-9.500000e-01	1	1.800792e+00
-9.500000e-01	2	4.234892e-02
-9.500000e-01	3	3.892909e-01
-9.500000e-01	4	2.173356e-01
-9.500000e-01	5	2.609414e-01
-9.500000e-01	6	2.514807e-01
-9.400000e-01	0	1.696071e+00
-9.400000e-01	1	1.745665e+00
-9.400000e-01	2	4.947670e-02
-9.400000e-01	3	3.734986e-01
-9.400000e-01	4	2.263883e-01
-9.400000e-01	5	2.586074e-01
-9.400000e-01	6	2.548272e-01
-9.300000e-01	0	1.696071e+00
-9.300000e-01	1	1.691687e+00
-9.300000e-01	2	5.737907e-02
-9.300000e-01	3	3.588695e-01
-9.300000e-01	4	2.351012e-01
-9.300000e-01	5	2.568026e-01
-9.300000e-01	6	2.579538e-01
-9.200000e-01	0	1.696071e+00
-9.200000e-01	1	1.638858e+00
-9.200000e-01	2	6.600743e-02
-9.200000e-01	3	3.453483e-01
-9.200000e-01	4	2.434667e-01
-9.200000e-01	5	2.554943e-01
-9.200000e-01	6	2.608840e-01
-9.100000e-01	0	1.696071e+00
-9.100000e-01	1	1.587179e+00
-9.100000e-01	2	7.531437e-02
-9.100000e-01	3	3.328826e-01
-9.100000e-01	4	2.514800e-01
-9.100000e-01	5	2.546523e-01
-9.100000e-01	6	2.636403e-01
-9.000000e-01	0	1.696071e+00
-9.000000e-01	1	1.536649e+00
-9.000000e-01	2	8.525359e-02
-9.000000e-01	3	3.214224e-01
-9.000000e-01	4	2.591393e-01
-9.000000e-01	5	2.542485e-01
-9.000000e-01	6	2.662450e-01
-8.900000e-01	0	1.696071e+00
-8.900000e-01	1	1.487269e+00
-8.900000e-01	2	9.577992e-02
-8.900000e-01	3	3.109206e-01
-8.900000e-01	4	2.664451e-01
-8.900000e-01	5	2.542567e-01
-8.900000e-01	6	2.687197e-01
-8.800000e-01	0	1.696071e+00
-8.800000e-01	1	1.439039e+00
