R	T	<W>	var(W)	bin
1	1	1.509541e-01	2.044482e-09	2
1	2	2.283679e-02	7.558165e-10	2
1	3	3.418048e-03	3.303412e-10	2
1	4	4.730251e-04	6.213041e-09	2
2	1	2.269587e-02	1.518172e-08	2
2	2	5.433058e-04	3.782616e-11	2
2	3	3.748213e-05	9.210079e-14	2
2	4	-3.419960e-05	1.330402e-09	2
3	1	3.443000e-03	7.145352e-10	2
3	2	2.182958e-05	6.280474e-10	2
3	3	-4.347147e-05	1.228098e-09	2
3	4	-2.002342e-05	1.909926e-09	2
4	1	5.326897e-04	7.135505e-10	2
4	2	-4.070393e-06	1.532294e-10	2
4	3	9.454961e-06	5.594084e-10	2
4	4	-2.392647e-05	2.797226e-09	2
1	1	1.508343e-01	1.966758e-08	4
1	2	2.289741e-02	7.340327e-11	4
1	3	3.472785e-03	1.186294e-09	4
1	4	4.858772e-04	8.411845e-10	4
2	1	2.277095e-02	8.773845e-12	4
2	2	5.198930e-04	2.526915e-09	4
2	3	1.807053e-05	1.557661e-09	4
2	4	-5.332454e-05	1.548751e-09	4
3	1	3.374060e-03	4.719633e-13	4
3	2	1.715637e-05	4.066060e-12	4
3	3	-6.968559e-05	3.270197e-10	4
3	4	-2.845379e-05	5.762372e-09	4
4	1	5.063294e-04	1.249368e-11	4
4	2	-5.163177e-05	4.128581e-10	4
4	3	-9.225862e-05	1.471390e-09	4
4	4	-1.903899e-05	2.599893e-10	4
1	1	1.508956e-01	4.962067e-09	8
1	2	2.286055e-02	2.320308e-09	8
1	3	3.457311e-03	5.101901e-09	8
1	4	4.802564e-04	1.013585e-08	8
2	1	2.273975e-02	1.994334e-11	8
2	2	4.773262e-04	9.220875e-10	8
2	3	-9.358682e-06	2.225261e-09	8
2	4	-4.836883e-05	2.590275e-10	8
3	1	3.401300e-03	1.158859e-09	8
3	2	1.056092e-05	2.051038e-09	8
3	3	-1.283570e-05	1.178750e-10	8
3	4	-2.269403e-05	6.189531e-09	8
4	1	5.147189e-04	6.413629e-10	8
4	2	-6.264152e-05	3.200716e-10	8
4	3	-3.343941e-05	1.285827e-09	8
4	4	-2.781416e-05	2.379047e-10	8
1	1	1.509305e-01	1.480131e-10	16
1	2	2.291912e-02	1.030944e-08	16
1	3	3.422368e-03	3.064118e-10	16
1	4	4.676420e-04	2.056075e-09	16
2	1	2.269461e-02	4.143138e-09	16
2	2	4.533628e-04	2.518639e-09	16
2	3	6.294136e-05	3.567951e-09	16
2	4	-9.955176e-05	7.554716e-09	16
3	1	3.423381e-03	1.534291e-09	16
3	2	1.965944e-05	9.485328e-10	16
3	3	-6.929842e-05	2.275181e-10	16
3	4	-3.412929e-06	2.426541e-10	16
4	1	5.154173e-04	1.593967e-09	16
4	2	5.522014e-07	2.854427e-09	16
4	3	-3.605495e-05	4.859128e-11	16
4	4	3.257036e-05	7.021207e-10	16
1	1	1.509444e-01	7.640892e-10	32
1	2	2.284995e-02	2.569177e-09	32
1	3	3.507623e-03	3.809302e-09	32
1	4	4.780860e-04	3.360453e-10	32
2	1	2.276582e-02	5.861392e-10	32
2	2	4.879152e-04	8.959588e-10	32
2	3	2.801398e-06	1.207870e-10	32
2	4	-3.025395e-05	1.361294e-09	32
3	1	3.430728e-03	4.112877e-10	32
3	2	-3.746337e-06	3.033547e-10	32
3	3	-4.072351e-05	1.344599e-09	32
3	4	-3.715237e-05	4.135873e-11	32
4	1	4.930754e-04	3.529449e-09	32
4	2	-6.268753e-05	1.438429e-10	32
4	3	-5.438801e-05	1.616166e-09	32
4	4	-6.077712e-05	4.195120e-11	32
